关都编号,文件名,宝可梦,原叫声文件,字节数
001,001.opus,妙蛙种子,0001_cry.opus,8095
002,002.opus,妙蛙草,0002_cry.opus,8030
003,003.opus,妙蛙花,0003_cry.opus,9544
004,004.opus,小火龙,0004_cry.opus,6874
005,005.opus,火恐龙,0005_cry.opus,8770
006,006.opus,喷火龙,0006_cry.opus,8997
007,007.opus,杰尼龟,0007_cry.opus,8008
008,008.opus,卡咪龟,0008_cry.opus,8828
009,009.opus,水箭龟,0009_cry.opus,9740
010,010.opus,绿毛虫,0010_cry.opus,5443
011,011.opus,铁甲蛹,0011_cry.opus,11183
012,012.opus,巴大蝶,0012_cry.opus,7380
013,013.opus,独角虫,0013_cry.opus,8405
014,014.opus,铁壳蛹,0014_cry.opus,9452
015,015.opus,大针蜂,0015_cry.opus,10159
016,016.opus,波波,0016_cry.opus,3714
017,017.opus,比比鸟,0017_cry.opus,8522
018,018.opus,大比鸟,0018_cry.opus,9657
019,019.opus,小拉达,0019_cry.opus,4375
020,020.opus,拉达,0020_cry.opus,4912
021,021.opus,烈雀,0021_cry.opus,8452
022,022.opus,大嘴雀,0022_cry.opus,8560
023,023.opus,阿柏蛇,0023_cry.opus,10092
024,024.opus,阿柏怪,0024_cry.opus,8783
025,025.opus,皮卡丘,0025_cry.opus,8473
026,026.opus,雷丘,0026_cry.opus,10274
027,027.opus,穿山鼠,0027_cry.opus,5253
028,028.opus,穿山王,0028_cry.opus,6588
029,029.opus,尼多兰,0029_cry.opus,5654
030,030.opus,尼多娜,0030_cry.opus,6712
031,031.opus,尼多后,0031_cry.opus,8305
032,032.opus,尼多朗,0032_cry.opus,5823
033,033.opus,尼多力诺,0033_cry.opus,7781
034,034.opus,尼多王,0034_cry.opus,12512
035,035.opus,皮皮,0035_cry.opus,5779
036,036.opus,皮可西,0036_cry.opus,6662
037,037.opus,六尾,0037_cry.opus,11023
038,038.opus,九尾,0038_cry.opus,11450
039,039.opus,胖丁,0039_cry.opus,3739
040,040.opus,胖可丁,0040_cry.opus,4411
041,041.opus,超音蝠,0041_cry.opus,9118
042,042.opus,大嘴蝠,0042_cry.opus,9266
043,043.opus,走路草,0043_cry.opus,7688
044,044.opus,臭臭花,0044_cry.opus,6156
045,045.opus,霸王花,0045_cry.opus,11748
046,046.opus,派拉斯,0046_cry.opus,13020
047,047.opus,派拉斯特,0047_cry.opus,14665
048,048.opus,毛球,0048_cry.opus,9665
049,049.opus,摩鲁蛾,0049_cry.opus,9808
050,050.opus,地鼠,0050_cry.opus,9437
051,051.opus,三地鼠,0051_cry.opus,10275
052,052.opus,喵喵,0052_cry.opus,7047
053,053.opus,猫老大,0053_cry.opus,9498
054,054.opus,可达鸭,0054_cry.opus,8090
055,055.opus,哥达鸭,0055_cry.opus,6656
056,056.opus,猴怪,0056_cry.opus,8602
057,057.opus,火暴猴,0057_cry.opus,8418
058,058.opus,卡蒂狗,0058_cry.opus,6598
059,059.opus,风速狗,0059_cry.opus,8717
060,060.opus,蚊香蝌蚪,0060_cry.opus,6429
061,061.opus,蚊香君,0061_cry.opus,4444
062,062.opus,蚊香泳士,0062_cry.opus,7444
063,063.opus,凯西,0063_cry.opus,10697
064,064.opus,勇基拉,0064_cry.opus,10865
065,065.opus,胡地,0065_cry.opus,13755
066,066.opus,腕力,0066_cry.opus,7302
067,067.opus,豪力,0067_cry.opus,6588
068,068.opus,怪力,0068_cry.opus,8113
069,069.opus,喇叭芽,0069_cry.opus,4718
070,070.opus,口呆花,0070_cry.opus,7680
071,071.opus,大食花,0071_cry.opus,9771
072,072.opus,玛瑙水母,0072_cry.opus,9300
073,073.opus,毒刺水母,0073_cry.opus,12470
074,074.opus,小拳石,0074_cry.opus,12147
075,075.opus,隆隆石,0075_cry.opus,13920
076,076.opus,隆隆岩,0076_cry.opus,10363
077,077.opus,小火马,0077_cry.opus,12229
078,078.opus,烈焰马,0078_cry.opus,11339
079,079.opus,呆呆兽,0079_cry.opus,4371
080,080.opus,呆壳兽,0080_cry.opus,6994
081,081.opus,小磁怪,0081_cry.opus,9639
082,082.opus,三合一磁怪,0082_cry.opus,12338
083,083.opus,大葱鸭,0083_cry.opus,6130
084,084.opus,嘟嘟,0084_cry.opus,9879
085,085.opus,嘟嘟利,0085_cry.opus,10751
086,086.opus,小海狮,0086_cry.opus,8780
087,087.opus,白海狮,0087_cry.opus,9847
088,088.opus,臭泥,0088_cry.opus,5769
089,089.opus,臭臭泥,0089_cry.opus,7980
090,090.opus,大舌贝,0090_cry.opus,7988
091,091.opus,刺甲贝,0091_cry.opus,10243
092,092.opus,鬼斯,0092_cry.opus,12672
093,093.opus,鬼斯通,0093_cry.opus,11720
094,094.opus,耿鬼,0094_cry.opus,7662
095,095.opus,大岩蛇,0095_cry.opus,12931
096,096.opus,催眠貘,0096_cry.opus,13915
097,097.opus,引梦貘人,0097_cry.opus,14161
098,098.opus,大钳蟹,0098_cry.opus,12623
099,099.opus,巨钳蟹,0099_cry.opus,11407
100,100.opus,霹雳电球,0100_cry.opus,11808
101,101.opus,顽皮雷弹,0101_cry.opus,12399
102,102.opus,蛋蛋,0102_cry.opus,11608
103,103.opus,椰蛋树,0103_cry.opus,14715
104,104.opus,卡拉卡拉,0104_cry.opus,6778
105,105.opus,嘎啦嘎啦,0105_cry.opus,7799
106,106.opus,飞腿郎,0106_cry.opus,9378
107,107.opus,快拳郎,0107_cry.opus,8798
108,108.opus,大舌头,0108_cry.opus,7401
109,109.opus,瓦斯弹,0109_cry.opus,9294
110,110.opus,双弹瓦斯,0110_cry.opus,10392
111,111.opus,独角犀牛,0111_cry.opus,9885
112,112.opus,钻角犀兽,0112_cry.opus,11184
113,113.opus,吉利蛋,0113_cry.opus,7552
114,114.opus,蔓藤怪,0114_cry.opus,8309
115,115.opus,袋兽,0115_cry.opus,8707
116,116.opus,墨海马,0116_cry.opus,6112
117,117.opus,海刺龙,0117_cry.opus,5646
118,118.opus,角金鱼,0118_cry.opus,6357
119,119.opus,金鱼王,0119_cry.opus,8767
120,120.opus,海星星,0120_cry.opus,9508
121,121.opus,宝石海星,0121_cry.opus,10574
122,122.opus,魔墙人偶,0122_cry.opus,9707
123,123.opus,飞天螳螂,0123_cry.opus,7041
124,124.opus,迷唇姐,0124_cry.opus,20083
125,125.opus,电击兽,0125_cry.opus,14730
126,126.opus,鸭嘴火兽,0126_cry.opus,9572
127,127.opus,凯罗斯,0127_cry.opus,6629
128,128.opus,肯泰罗,0128_cry.opus,9616
129,129.opus,鲤鱼王,0129_cry.opus,10413
130,130.opus,暴鲤龙,0130_cry.opus,9938
131,131.opus,拉普拉斯,0131_cry.opus,8040
132,132.opus,百变怪,0132_cry.opus,6250
133,133.opus,伊布,0133_cry.opus,7766
134,134.opus,水伊布,0134_cry.opus,14187
135,135.opus,雷伊布,0135_cry.opus,8078
136,136.opus,火伊布,0136_cry.opus,11803
137,137.opus,多边兽,0137_cry.opus,10605
138,138.opus,菊石兽,0138_cry.opus,7612
139,139.opus,多刺菊石兽,0139_cry.opus,7242
140,140.opus,化石盔,0140_cry.opus,6910
141,141.opus,镰刀盔,0141_cry.opus,7212
142,142.opus,化石翼龙,0142_cry.opus,13638
143,143.opus,卡比兽,0143_cry.opus,3969
144,144.opus,急冻鸟,0144_cry.opus,11823
145,145.opus,闪电鸟,0145_cry.opus,8390
146,146.opus,火焰鸟,0146_cry.opus,12211
147,147.opus,迷你龙,0147_cry.opus,6850
148,148.opus,哈克龙,0148_cry.opus,9018
149,149.opus,快龙,0149_cry.opus,9642
150,150.opus,超梦,0150_cry.opus,14471
151,151.opus,梦幻,0151_cry.opus,14048
152,152.opus,美录坦,0808_cry.opus,7356
153,153.opus,美录梅塔,0809_cry.opus,12110
